location_id,baseline_delay_sec,optimized_delay_sec,baseline_throughput,optimized_throughput,baseline_queue_pressure,optimized_queue_pressure,avg_predicted_volume,peak_share,location_name_raw,location_name,delay_reduction_sec,throughput_gain,queue_pressure_reduction
8417204_WB,32.338,23.941,630.638,882.544,710.493,458.587,1341.131,0.293,,Eglinton Ave W: Russell Rd - Islington Ave,8.397,251.906,251.906
909697_EB,31.766,25.028,607.176,809.296,492.274,290.153,1099.45,0.293,12377332.0,Eglinton Ave W: Martin Grove Rd - Hwy 27 / Hwy 401 / Hwy 427 Eglinton E Ramp,6.737,202.12,202.12
5066262_NB,31.291,25.377,582.089,759.516,423.344,245.917,1005.433,0.293,,Kennedy Rd: Brigstock Rd - Ellesmere Rd,5.914,177.427,177.427
913150_WB,30.713,25.356,556.669,717.364,340.59,179.894,897.259,0.293,913150.0,Dundas St W: Dundas E / Hwy 427 Collectors S Ramp - West Mall Cres,5.357,160.695,160.695
913167_EB,30.764,25.408,558.832,719.497,345.497,184.832,904.329,0.293,913150.0,Dundas St W to West Mall Cres,5.355,160.664,160.664
912884_EB,30.578,25.361,549.322,705.832,332.27,175.76,881.592,0.293,912884.0,Dundas St W: Shorncliffe Rd - Paulart Dr,5.217,156.51,156.51
909674_WB,31.206,26.096,580.74,734.039,330.478,177.179,911.218,0.293,,Eglinton Ave W: Widdicombe Hill Blvd - Martin Grove Rd,5.11,153.299,153.299
60008454_SB,31.604,26.736,598.042,744.077,292.248,146.214,890.291,0.293,,Kennedy Rd: Ellesmere Rd - Progress Ave,4.868,146.035,146.035
1141417_NB,31.759,27.267,607.184,741.946,277.569,142.807,884.753,0.293,1141417.0,Avenue Rd: Bernard Ave - Davenport Rd,4.492,134.761,134.761
9637988_NB,31.318,27.332,588.644,708.209,240.514,120.949,829.158,0.293,9637988.0,Kennedy Rd: Collingwood St - Sheppard Ave E,3.986,119.565,119.565
9668534_SB,31.099,27.19,576.388,693.651,234.526,117.263,810.914,0.293,9637988.0,Kennedy Rd: Sheppard Ave E - Bonis Ave,3.909,117.263,117.263
7792702_NB,30.379,26.664,546.066,657.515,235.81,124.36,781.875,0.293,6345158.0,University Ave: Orde St - Queen's Park,3.715,111.45,111.45
909513_EB,30.688,27.041,558.58,667.992,228.712,119.3,787.292,0.293,,Eglinton Ave W: Islington Ave - Wincott Dr,3.647,109.412,109.412
1139581_NB,30.978,27.53,573.261,676.708,207.035,103.587,780.296,0.293,1139581.0,Avenue Rd: Lynwood Ave - St Clair Ave W,3.448,103.448,103.448
6345158_SB,31.157,28.017,580.89,675.095,188.411,94.206,769.301,0.293,6345158.0,Queen's Park to University Ave,3.14,94.206,94.206
8408574_SB,30.516,27.509,549.9,640.102,180.404,90.202,730.304,0.293,1142361.0,Avenue Rd: Queen's Park - Cumberland St,3.007,90.202,90.202
9011614_WB,29.74,27.138,511.004,589.061,159.645,81.588,670.65,0.293,8985453.0,Eglinton Ave E: McCowan Rd - Torrance Rd,2.602,78.057,78.057
14014448_SB,30.178,27.578,531.277,609.286,156.018,78.009,687.295,0.293,1141417.0,Avenue Rd: Davenport Rd - Lane N of Davenport and W of Avenue,2.6,78.009,78.009
105064_NB,30.44,27.853,543.805,621.392,155.996,78.41,699.801,0.293,3369829.0,Kennedy Rd: Lovekin Grv - Finch Ave E,2.586,77.587,77.587
110026_SB,30.526,27.999,551.151,626.953,154.138,78.335,705.289,0.293,110101.0,Kennedy Rd: Lawrence Ave E - Cornwallis Dr,2.527,75.803,75.803
8985453_EB,30.014,27.537,529.055,603.379,153.941,79.617,682.997,0.293,110904.0,Eglinton Ave E: Barbados Blvd - McCowan Rd,2.477,74.324,74.324
110101_NB,30.103,27.902,530.061,596.092,132.062,66.031,662.122,0.293,110101.0,Kennedy Rd: Flora Dr - Lawrence Ave E,2.201,66.031,66.031
8087218_WB,29.901,27.99,523.267,580.6,114.665,57.333,637.933,0.293,,Dundas St W: Wilmar Rd - Shorncliffe Rd,1.911,57.333,57.333
30094180_SB,29.834,28.057,514.755,568.055,106.599,53.3,621.354,0.293,30094179.0,Avenue Rd: Amsterdam Square Trl - Heath St W,1.777,53.3,53.3
10250012_EB,30.106,28.489,534.286,582.795,97.017,48.509,631.304,0.293,7950483.0,Bloor St W: Jane St - Riverview Gdns,1.617,48.509,48.509
8408484_NB,30.13,28.53,543.114,591.1,95.983,47.997,639.097,0.293,1142361.0,Queen's Park: Charles St W - Bloor St W,1.6,47.986,47.986
1145856_SB,31.316,29.849,593.321,637.334,88.027,44.013,681.348,0.293,1145856.0,University Ave: King St W - Pearl St,1.467,44.013,44.013
30136184_EB,28.296,26.893,449.774,491.876,84.204,42.102,533.978,0.293,5503138.0,Eglinton Ave W to Eglinton Ave West Trl,1.403,42.102,42.102
60010184_WB,29.322,28.026,491.682,530.554,77.743,38.871,569.425,0.293,60010184.0,McNicoll Ave: Kennedy Rd - Milliken Blvd,1.296,38.871,38.871
8293064_WB,29.62,28.359,512.862,550.703,75.681,37.841,588.544,0.293,8293064.0,Bloor St W: Humbervale Blvd - Royal York Rd,1.261,37.841,37.841
9468017_SB,29.693,28.474,515.114,551.698,73.167,36.583,588.281,0.293,,Kennedy Rd: Finch Ave E - Trojan Gt,1.219,36.583,36.583
10250316_WB,29.886,28.688,529.54,565.485,71.89,35.945,601.43,0.293,10257842.0,Bloor St W: Armadale Ave - Jane St,1.198,35.945,35.945
13973963_WB,28.051,27.209,437.284,462.541,50.514,25.257,487.798,0.293,5503138.0,Eglinton Ave W: Matheson Blvd - Renforth Dr,0.842,25.257,25.257
912526_WB,28.07,27.381,445.672,466.325,41.306,20.653,486.978,0.293,912526.0,Bloor St W: Hwy 427 Collectors S / Hwy 427 Express S - The West Mall,0.688,20.653,20.653
9694705_WB,29.073,28.401,495.275,515.432,40.314,20.157,535.589,0.293,30071559.0,Bloor St W: Indian Grv - Parkside Dr,0.672,20.157,20.157
60042342_EB,28.401,27.756,452.255,471.605,38.699,19.349,490.954,0.293,,McNicoll Ave: Silver Springs Blvd - Kennedy Rd,0.645,19.349,19.349
912561_EB,27.777,27.179,430.473,448.397,35.847,17.923,466.32,0.293,912526.0,Bloor St W: The West Mall - Renforth Dr,0.597,17.923,17.923
911424_EB,28.715,28.124,465.284,483.018,35.467,17.734,500.752,0.293,8293064.0,Bloor St W: Royal York Rd - Cliveden Ave,0.591,17.734,17.734
9980168_WB,26.648,26.171,377.719,392.057,28.675,14.337,406.394,0.295,1142152.0,Queen St E: Woodbine Ave - Herbert Ave,0.478,14.337,14.337
103633_WB,27.818,27.379,424.785,437.959,26.349,13.174,451.133,0.293,,McNicoll Ave: Brimley Rd - Hutchcroft Ave,0.439,13.174,13.174
9011460_EB,28.435,28.015,466.66,479.253,25.187,12.594,491.847,0.293,9011460.0,Eglinton Ave E: Centre St - Markham Rd,0.42,12.594,12.594
9326_WB,27.902,27.492,437.84,450.139,24.597,12.298,462.437,0.293,9326.0,St Clair Ave W: French Ave - Jane St,0.41,12.298,12.298
3065748_NB,28.788,28.382,481.458,493.658,24.399,12.199,505.857,0.293,3065748.0,University Ave: Wellington St W - King St W,0.407,12.199,12.199
30086684_EB,27.67,27.29,424.721,436.128,22.814,11.407,447.535,0.293,,McNicoll Ave: Cleadon Rd - East Highland Creek Trl,0.38,11.407,11.407
8408552_WB,29.141,28.763,502.925,514.28,22.71,11.355,525.635,0.293,8408552.0,Bloor St W: Queen's Park - Bedford Rd,0.378,11.355,11.355
30066340_EB,28.32,27.98,447.526,457.729,20.406,10.203,467.932,0.293,9326.0,St Clair Ave W: Lane N of St Clair and W of Jane - Florence Cres,0.34,10.203,10.203
30071559_EB,28.555,28.224,467.5,477.43,19.861,9.931,487.361,0.293,30071559.0,Bloor St W: High Park Trl - Mountview Ave,0.331,9.931,9.931
7762725_SB,28.568,28.256,464.711,474.058,18.694,9.347,483.405,0.293,7792579.0,Bay St: College St - Grenville St,0.312,9.347,9.347
103084_WB,26.958,26.647,389.535,398.853,18.635,9.317,408.17,0.293,9246435.0,McNicoll Ave: Markham Rd - Ironside Cres,0.311,9.317,9.317
14014177_SB,28.045,27.819,440.464,447.244,13.561,6.78,454.025,0.293,8408346.0,Bay St: Bloor St W - Mayfair Mews,0.226,6.78,6.78
8408346_NB,27.255,27.042,417.418,423.82,12.803,6.402,430.222,0.293,8408346.0,Bay St: Charles St W - Bloor St W,0.213,6.402,6.402
9950494_EB,24.989,24.793,299.043,304.914,11.742,5.871,310.785,0.295,9950494.0,Queen St E: Spruce Hill Rd - Beech Ave,0.196,5.871,5.871
9311781_WB,26.629,26.437,374.452,380.211,11.516,5.758,385.969,0.293,,McNicoll Ave: Victoria Park Ave - Pharmacy Ave,0.192,5.758,5.758
8930395_WB,27.275,27.084,409.306,415.027,11.442,5.721,420.748,0.293,8930395.0,Eglinton Ave E: Markham Rd - Cedar Dr,0.191,5.721,5.721
8087327_NB,26.011,25.837,360.834,366.052,10.437,5.218,371.27,0.293,10224288.0,Bay St: Wellington St W - King St W,0.174,5.218,5.218
8087327_SB,27.325,27.151,423.366,428.576,10.42,5.21,433.786,0.293,10224288.0,Bay St: Wellington St W - King St W,0.174,5.21,5.21
30076945_EB,27.395,27.233,414.782,419.66,9.756,4.878,424.539,0.293,8677192.0,Davenport Rd: Yonge St - McMurrich St,0.163,4.878,4.878
7792579_NB,27.729,27.57,439.315,444.066,9.502,4.751,448.817,0.295,7792579.0,Bay St: Hayter St - College St,0.158,4.751,4.751
1144219_EB,28.294,28.14,459.385,464.011,9.253,4.627,468.638,0.293,1144172.0,Bloor St W: Lansdowne Ave - St Helen's Ave,0.154,4.627,4.627
1142152_EB,24.091,23.94,250.75,255.299,9.098,4.549,259.848,0.295,1142152.0,Queen St E: Rainsford Rd - Woodbine Ave,0.152,4.549,4.549
1140855_EB,27.139,26.989,401.588,406.079,8.982,4.491,410.57,0.293,1140818.0,Davenport Rd: Spadina Rd - Walmer Rd,0.15,4.491,4.491
5868170_WB,27.216,27.071,410.593,414.949,8.711,4.355,419.304,0.293,5868170.0,Davenport Rd: Bristol Ave - Dufferin St,0.145,4.355,4.355
14013502_EB,26.803,26.663,389.591,393.789,8.397,4.198,397.988,0.293,5868170.0,Davenport Rd: Dufferin St - Lane W of Dufferin and S of Davenport,0.14,4.198,4.198
1144172_WB,27.775,27.637,441.009,445.146,8.274,4.137,449.283,0.293,1144172.0,Bloor St W: St Clarens Ave - Lansdowne Ave,0.138,4.137,4.137
30053063_WB,27.527,27.401,428.295,432.07,7.55,3.775,435.845,0.293,30053063.0,St Clair Ave W: Sir Winston Churchill Park Trl - Spadina Rd,0.126,3.775,3.775
10877596_EB,27.291,27.185,420.8,423.961,6.322,3.161,427.122,0.293,1143576.0,Bloor St W: Ossington Ave - Concord Ave,0.105,3.161,3.161
14013021_EB,27.192,27.088,408.17,411.288,6.236,3.118,414.406,0.293,8344780.0,Davenport Rd: Lane E of Old Weston and N of Davenport - Old Weston Rd,0.104,3.118,3.118
2992089_WB,24.868,24.768,289.187,292.201,6.029,3.014,295.215,0.295,9950494.0,Queen St E: Beech Ave - Willow Ave,0.1,3.014,3.014
1139432_EB,27.801,27.704,438.563,441.469,5.813,2.906,444.376,0.293,,St Clair Ave W: Yonge St - Deer Park Cres,0.097,2.906,2.906
14012686_WB,27.835,27.74,442.584,445.435,5.702,2.851,448.285,0.293,14012686.0,St Clair Ave W: Lane E of Keele and S of St Clair - Weston Rd,0.095,2.851,2.851
437700_SB,25.543,25.454,325.429,328.08,5.303,2.652,330.732,0.293,437752.0,Willowdale Ave: Finch Ave E - Pemberton Ave,0.088,2.652,2.652
9171598_EB,25.416,25.346,327.298,329.412,4.229,2.115,331.527,0.293,9171609.0,St Clair Ave W: Christie St - Humewood Dr,0.07,2.115,2.115
30073968_WB,27.127,27.078,403.018,404.487,2.937,1.468,405.955,0.293,8677192.0,Church St: Collier St - Yonge St,0.049,1.468,1.468
30107815_EB,25.739,25.694,353.696,355.058,2.724,1.362,356.42,0.293,14021286.0,Bloor St W: Bathurst St - Markham St,0.045,1.362,1.362
60037961_EB,25.725,25.685,337.246,338.44,2.389,1.194,339.634,0.293,9246435.0,McNicoll Ave: Dynamic Dr - Markham Rd,0.04,1.194,1.194
8677482_EB,24.863,24.827,302.175,303.27,2.191,1.095,304.366,0.293,1140808.0,St Clair Ave W: Dufferin St - St Clair Gdns,0.037,1.095,1.095
1146918_EB,26.598,26.567,391.491,392.439,1.894,0.947,393.386,0.295,1146918.0,Queen St W: Lansdowne Ave - Jameson Ave,0.032,0.947,0.947
7792266_SB,26.294,26.263,373.78,374.693,1.827,0.913,375.607,0.295,10906585.0,Bay St: Dundas St W - Edward St,0.03,0.913,0.913
1145285_WB,25.631,25.605,340.721,341.524,1.606,0.803,342.327,0.295,1145285.0,Queen St W: York St - University Ave,0.027,0.803,0.803
13323732_EB,26.623,26.608,385.662,386.105,0.887,0.444,386.549,0.293,14012686.0,St Clair Ave W: Weston Rd - Old Stock Yards Rd,0.015,0.444,0.444
10133019_SB,22.038,22.024,107.67,108.093,0.845,0.423,108.516,0.296,10133019.0,Keele St: Wycombe Rd - Sheppard Ave W,0.014,0.423,0.423
1146609_EB,26.186,26.174,373.176,373.548,0.743,0.371,373.919,0.295,1146584.0,Queen St W: Dovercourt Rd - Lisgar St,0.012,0.371,0.371
14013021_WB,26.061,26.054,356.928,357.13,0.402,0.201,357.331,0.293,8344780.0,Davenport Rd: Lane E of Old Weston and N of Davenport - Old Weston Rd,0.007,0.201,0.201
1140808_WB,25.162,25.161,316.928,316.968,0.081,0.04,317.009,0.293,1140808.0,St Clair Ave W: Westmount Ave - Dufferin St,0.001,0.04,0.04
10154405_WB,25.053,25.052,307.534,307.571,0.073,0.036,307.607,0.293,8741191.0,St Clair Ave E: Yonge St - Tamblyn Lane,0.001,0.036,0.036
9171609_WB,25.364,25.364,327.082,327.082,0.0,0.0,327.082,0.293,9171609.0,St Clair Ave W: Pinewood Ave - Christie St,0.0,0.0,0.0
11714647_EB,26.668,26.668,388.873,388.873,0.0,0.0,388.873,0.293,30053063.0,St Clair Ave W: Spadina Rd - Walmer Rd,0.0,0.0,0.0
20040996_SB,20.826,20.826,34.703,34.703,0.0,0.0,34.703,0.293,12047979.0,Willowdale Ave: Lane S of Sheppard and E of Willowdale - Sheppard Ave E,0.0,0.0,0.0
107848_WB,22.341,22.341,145.18,145.18,0.0,0.0,145.18,0.298,,Borough Dr to Town Centre Crt,0.0,0.0,0.0
107848_EB,21.99,21.99,122.603,122.603,0.0,0.0,122.603,0.298,,Borough Dr to Town Centre Crt,0.0,0.0,0.0
10475569_WB,24.791,24.791,305.461,305.461,0.0,0.0,305.461,0.295,10475569.0,Queen St W: Ryerson Ave - Bathurst St,0.0,0.0,0.0
1143576_WB,25.82,25.82,354.332,354.332,0.0,0.0,354.332,0.293,1143576.0,Bloor St W: Carling Ave - Ossington Ave,0.0,0.0,0.0
1140818_WB,24.31,24.31,271.698,271.698,0.0,0.0,271.698,0.293,1140818.0,Davenport Rd: Madison Ave - Spadina Rd,0.0,0.0,0.0
20040996_NB,20.959,20.959,45.729,45.729,0.0,0.0,45.729,0.293,12047979.0,Willowdale Ave: Lane S of Sheppard and E of Willowdale - Sheppard Ave E,0.0,0.0,0.0
8067830_EB,24.724,24.724,302.571,302.571,0.0,0.0,302.571,0.295,1145286.0,Queen St W: University Ave - Simcoe St,0.0,0.0,0.0
1146057_EB,25.583,25.583,343.358,343.358,0.0,0.0,343.358,0.295,10475569.0,Queen St W: Bathurst St - Markham St,0.0,0.0,0.0
1146570_WB,25.268,25.268,328.665,328.665,0.0,0.0,328.665,0.295,1146584.0,Queen St W: Fennings St - Dovercourt Rd,0.0,0.0,0.0
1146904_WB,24.444,24.444,283.063,283.063,0.0,0.0,283.063,0.295,1146918.0,Queen St W: Close Ave - Lansdowne Ave,0.0,0.0,0.0
11484469_EB,24.333,24.333,268.554,268.554,0.0,0.0,268.554,0.293,,McNicoll Ave: Placer Crt - Victoria Park Ave,0.0,0.0,0.0
12047979_SB,24.318,24.318,265.896,265.896,0.0,0.0,265.896,0.293,12047979.0,Willowdale Ave: Sheppard Ave E - Maplehurst Ave,0.0,0.0,0.0
10133019_NB,20.658,20.658,19.433,19.433,0.0,0.0,19.433,0.296,10133019.0,Keele St: Wycombe Rd - Sheppard Ave W,0.0,0.0,0.0
